Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,44.087502,44.847500,44.052502,44.742500,42.912354,152648800
2018-02-27,44.775002,45.119999,44.540001,44.597500,42.773281,155712400
2018-02-28,44.814999,45.154999,44.512501,44.529999,42.708549,151128400
2018-03-01,44.634998,44.945000,43.165001,43.750000,41.960449,195208000
2018-03-02,43.200001,44.075001,43.112499,44.052502,42.250580,153816000
2018-03-05,43.802502,44.435001,43.630001,44.205002,42.396847,113605600
2018-03-06,44.477501,44.562500,44.032501,44.167500,42.360878,95154000
2018-03-07,43.735001,43.962502,43.567501,43.757500,41.967640,126814000
2018-03-08,43.869999,44.279999,43.767502,44.235001,42.425613,95096400
2018-03-09,44.490002,45.000000,44.347500,44.994999,43.154530,128740800
2018-03-12,45.072498,45.597500,45.052502,45.430000,43.571735,128828400
2018-03-13,45.647499,45.875000,44.810001,44.992500,43.152122,126774000
2018-03-14,45.080002,45.130001,44.452499,44.610001,42.785275,117473600
2018-03-15,44.625000,45.060001,44.517502,44.662498,42.835629,90975200
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.684570,157618800
2018-03-19,44.330002,44.367500,43.415001,43.825001,42.032379,133787200
2018-03-20,43.810001,44.200001,43.735001,43.810001,42.018002,78597600
2018-03-21,43.759998,43.772499,42.814999,42.817501,41.066086,148219600
2018-03-22,42.500000,43.169998,42.150002,42.212502,40.485847,165963200
2018-03-23,42.097500,42.480000,41.235001,41.235001,39.548328,164115200
2018-03-26,42.017502,43.275002,41.610001,43.192501,41.425758,150164800
2018-03-27,43.419998,43.787498,41.730000,42.084999,40.363552,163690400
2018-03-28,41.812500,42.505001,41.297501,41.619999,39.917572,166674000
2018-03-29,41.952499,42.937500,41.724998,41.945000,40.229282,153594000
2018-04-02,41.660000,42.235001,41.117500,41.669998,39.965534,150347200
2018-04-03,41.910000,42.187500,41.220001,42.097500,40.375557,121112000
2018-04-04,41.220001,43.002499,41.192501,42.902500,41.147617,138422000
2018-04-05,43.145000,43.557499,43.020000,43.200001,41.432945,107732800
2018-04-06,42.742500,43.119999,42.049999,42.095001,40.373154,140021200
2018-04-09,42.470001,43.272499,42.462502,42.512501,40.773575,116070800
2018-04-10,43.250000,43.500000,42.882500,43.312500,41.540844,113634400
2018-04-11,43.057499,43.480000,42.924999,43.110001,41.346630,89726400
2018-04-12,43.352501,43.750000,43.259998,43.535000,41.754246,91557200
2018-04-13,43.695000,43.959999,43.462502,43.682499,41.895714,100497200
2018-04-16,43.757500,44.047501,43.707500,43.955002,42.157063,86313600
2018-04-17,44.122501,44.735001,44.102501,44.560001,42.737320,106421600
2018-04-18,44.452499,44.705002,44.220001,44.459999,42.641403,83018000
2018-04-19,43.439999,43.847500,43.165001,43.200001,41.432945,139235200
2018-04-20,42.650002,42.805000,41.357498,41.430000,39.735344,261964400
2018-04-23,41.707500,41.730000,41.022499,41.310001,39.620255,146062000
2018-04-24,41.417500,41.582500,40.305000,40.735001,39.068775,134768000
2018-04-25,40.654999,41.355000,40.602501,40.912498,39.239010,113528400
2018-04-26,41.029999,41.432499,40.842499,41.055000,39.375683,111852000
2018-04-27,41.000000,41.082500,40.157501,40.580002,38.920120,142623200
2018-04-30,40.532501,41.814999,40.459999,41.314999,39.625042,169709600
